date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2023-01-04,16675.65,16675.65,16737.23,16737.23,16652.66,16652.66,16715.08,16715.08,11672.09016,11672.09016
2023-01-03,16672.78,16672.78,16778.4,16778.4,16605.28,16605.28,16675.18,16675.18,159541.53733,159541.53733
2023-01-02,16617.17,16617.17,16799.23,16799.23,16548.7,16548.7,16672.87,16672.87,121888.57191,121888.57191
2023-01-01,16541.77,16541.77,16628.0,16628.0,16499.01,16499.01,16616.75,16616.75,96925.41374,96925.41374
2022-12-31,16607.48,16607.48,16644.09,16644.09,16470.0,16470.0,16542.4,16542.4,114490.42864,114490.42864
2022-12-30,16633.47,16633.47,16677.35,16677.35,16333.0,16333.0,16607.48,16607.48,164916.31174,164916.31174
2022-12-29,16547.32,16547.32,16664.41,16664.41,16488.91,16488.91,16633.47,16633.47,160998.47158,160998.47158
2022-12-28,16706.06,16706.06,16785.19,16785.19,16465.33,16465.33,16547.31,16547.31,193037.56577,193037.56577
2022-12-27,16919.39,16919.39,16972.83,16972.83,16592.37,16592.37,16706.36,16706.36,173749.58616,173749.58616
2022-12-26,16832.11,16832.11,16944.52,16944.52,16791.0,16791.0,16919.39,16919.39,124564.00656,124564.00656
2022-12-25,16835.73,16835.73,16857.96,16857.96,16721.0,16721.0,16832.11,16832.11,125441.07202,125441.07202
2022-12-24,16778.52,16778.52,16869.99,16869.99,16776.62,16776.62,16836.12,16836.12,100224.29096,100224.29096
2022-12-23,16821.9,16821.9,16955.14,16955.14,16731.13,16731.13,16778.5,16778.5,161612.00947,161612.00947
2022-12-22,16824.68,16824.68,16868.52,16868.52,16559.85,16559.85,16821.43,16821.43,176044.27235,176044.27235
2022-12-21,16896.15,16896.15,16925.0,16925.0,16723.0,16723.0,16824.67,16824.67,156810.96362,156810.96362
2022-12-20,16438.88,16438.88,17061.27,17061.27,16397.2,16397.2,16895.56,16895.56,248808.92324,248808.92324
2022-12-19,16739.0,16739.0,16815.99,16815.99,16256.3,16256.3,16438.88,16438.88,179094.28305,179094.28305
2022-12-18,16777.54,16777.54,16863.26,16863.26,16663.07,16663.07,16738.21,16738.21,112619.31646,112619.31646
2022-12-17,16631.5,16631.5,16796.82,16796.82,16579.85,16579.85,16776.52,16776.52,144825.66684,144825.66684
2022-12-16,17356.96,17356.96,17531.73,17531.73,16527.32,16527.32,16632.12,16632.12,253379.04116,253379.04116
2022-12-15,17804.01,17804.01,17854.82,17854.82,17275.51,17275.51,17356.34,17356.34,223701.96882,223701.96882
2022-12-14,17775.82,17775.82,18387.95,18387.95,17660.94,17660.94,17803.15,17803.15,266681.22209,266681.22209
2022-12-13,17208.93,17208.93,18000.0,18000.0,17080.14,17080.14,17774.7,17774.7,284462.9139,284462.9139
2022-12-12,17085.05,17085.05,17241.89,17241.89,16871.85,16871.85,17209.83,17209.83,226227.49694,226227.49694
2022-12-11,17127.49,17127.49,17270.99,17270.99,17071.0,17071.0,17085.05,17085.05,155286.47871,155286.47871
2022-12-10,17128.56,17128.56,17227.72,17227.72,17092.0,17092.0,17127.49,17127.49,140573.97937,140573.97937
2022-12-09,17224.1,17224.1,17360.0,17360.0,17058.21,17058.21,17128.56,17128.56,238422.06465,238422.06465
2022-12-08,16836.64,16836.64,17299.0,17299.0,16733.49,16733.49,17224.1,17224.1,236417.97804,236417.97804
2022-12-07,17088.96,17088.96,17142.21,17142.21,16678.83,16678.83,16836.64,16836.64,220657.41334,220657.41334
2022-12-06,16966.35,16966.35,17107.01,17107.01,16906.37,16906.37,17088.96,17088.96,218730.76883,218730.76883
