date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2022-12-15,1307.45,1307.45,1311.14,1311.14,1259.27,1259.27,1266.54,1266.54,390051.2447,390051.2447
2022-12-14,1320.69,1320.69,1352.72,1352.72,1301.0,1301.0,1307.44,1307.44,554465.5717,554465.5717
2022-12-13,1275.41,1275.41,1349.0,1349.0,1255.1,1255.1,1320.69,1320.69,659393.8825,659393.8825
2022-12-12,1263.0,1263.0,1278.9,1278.9,1240.03,1240.03,1275.4,1275.4,363750.5481,363750.5481
2022-12-11,1266.35,1266.35,1284.75,1284.75,1255.85,1255.85,1263.01,1263.01,180494.902,180494.902
2022-12-10,1263.11,1263.11,1283.61,1283.61,1259.6,1259.6,1266.35,1266.35,182278.6396,182278.6396
2022-12-09,1280.18,1280.18,1296.64,1296.64,1250.0,1250.0,1263.1,1263.1,406008.0032,406008.0032
2022-12-08,1231.18,1231.18,1292.58,1292.58,1222.01,1222.01,1280.18,1280.18,406653.5447,406653.5447
2022-12-07,1271.31,1271.31,1278.69,1278.69,1218.01,1218.01,1231.18,1231.18,398559.5166,398559.5166
2022-12-06,1259.41,1259.41,1274.76,1274.76,1241.56,1241.56,1271.32,1271.32,301631.839,301631.839
2022-12-05,1279.4,1279.4,1305.11,1305.11,1246.61,1246.61,1259.41,1259.41,391628.5166,391628.5166
2022-12-04,1240.5,1240.5,1287.19,1287.19,1240.1,1240.1,1279.41,1279.41,324129.5466,324129.5466
2022-12-03,1295.58,1295.58,1309.0,1309.0,1236.26,1236.26,1240.51,1240.51,347148.2588,347148.2588
2022-12-02,1276.4,1276.4,1297.18,1297.18,1265.24,1265.24,1295.59,1295.59,371559.585,371559.585
2022-12-01,1294.46,1294.46,1299.9,1299.9,1262.77,1262.77,1276.41,1276.41,430018.7391,430018.7391
2022-11-30,1216.49,1216.49,1309.77,1309.77,1212.5,1212.5,1294.46,1294.46,815679.2717,815679.2717
2022-11-29,1167.77,1167.77,1228.37,1228.37,1158.27,1158.27,1216.49,1216.49,512143.5861,512143.5861
2022-11-28,1193.88,1193.88,1199.25,1199.25,1151.02,1151.02,1167.77,1167.77,478795.6093,478795.6093
2022-11-27,1205.61,1205.61,1223.33,1223.33,1188.65,1188.65,1193.88,1193.88,286386.7986,286386.7986
2022-11-26,1199.29,1199.29,1235.66,1235.66,1196.2,1196.2,1205.6,1205.6,379840.8116,379840.8116
2022-11-25,1203.72,1203.72,1207.77,1207.77,1171.2,1171.2,1199.3,1199.3,391430.1658,391430.1658
2022-11-24,1184.52,1184.52,1217.71,1217.71,1180.6,1180.6,1203.73,1203.73,486080.6123,486080.6123
2022-11-23,1139.59,1139.59,1190.0,1190.0,1127.75,1127.75,1184.52,1184.52,636927.1594,636927.1594
2022-11-22,1107.34,1107.34,1146.13,1146.13,1075.0,1075.0,1139.6,1139.6,748884.5791,748884.5791
